Beverage_category,Beverage,Beverage_prep,Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) ,Caffeine (mg)
Coffee,Brewed Coffee,Short,3,0.1,0,0,0,5,0,0,0,0.3,0%,0%,0%,0%,175
Coffee,Brewed Coffee,Tall,4,0.1,0,0,0,10,0,0,0,0.5,0%,0%,0%,0%,260
Classic Espresso Drinks,Caffè Latte,Tall Nonfat Milk,100,0.2,0.2,0,5,120,15,0,14,10,15%,0%,30%,0%,75
Classic Espresso Drinks,Caffè Latte,2% Milk,150,6,3,0.2,25,135,15,0,14,10,15%,0%,30%,0%,75
Classic Espresso Drinks,Caffè Latte,Soymilk,110,4.5,0.5,0,0,105,10,1,6,8,10%,0%,30%,15%,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,310,9,6,0.1,20,200,46,0,44,11,15%,2%,40%,0%,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,280,8,3.5,0,0,170,42,1,39,10,10%,2%,40%,0%,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Grande Nonfat Milk,350,6,4.5,0,10,240,61,0,58,15,20%,2%,40%,15%,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,400,11,7,0.2,25,250,61,0,58,15,15%,2%,50%,0%,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,370,10,5,0,0,220,56,1,51,13,10%,2%,50%,0%,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Venti Nonfat Milk,450,7,6,0,10,310,78,0,74,19,25%,2%,50%,25%,150
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,460,10,7,0.2,15,340,90,2,84,7,6%,4%,15%,10%,85
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,430,8,4.5,0,0,330,88,3,80,6,6%,2%,15%,10%,85
Frappuccino® Light Blended Coffee,Coffee,Tall Nonfat Milk,90,0.1,0,0,0,160,20,0,19,3,4%,0%,15%,20%,85
Frappuccino® Light Blended Coffee,Coffee,Grande Nonfat Milk,120,0.1,0.1,0,0,210,26,0,26,3,6%,0%,25%,20%,95
Frappuccino® Light Blended Coffee,Coffee,Venti Nonfat Milk,160,0.1,0.1,0,5,270,34,0,33,5,8%,0%,25%,20%,95
Frappuccino® Light Blended Coffee,Mocha,Tall Nonfat Milk,110,0.5,0.4,0,0,150,24,1,23,3,4%,0%,25%,30%,95
Frappuccino® Light Blended Coffee,Mocha,Grande Nonfat Milk,150,1,0.5,0,0,200,33,1,30,4,6%,0%,35%,25%,175
Frappuccino® Light Blended Coffee,Mocha,Venti Nonfat Milk,210,1,0.5,0,5,280,46,1,42,6,8%,0%,35%,25%,175
Frappuccino® Light Blended Coffee,Caramel,Tall Nonfat Milk,100,0.1,0,0,0,140,23,0,23,3,4%,0%,35%,40%,175
Frappuccino® Light Blended Coffee,Caramel,Grande Nonfat Milk,150,0.1,0.1,0,0,200,33,0,32,3,6%,2%,45%,30%,180
Frappuccino® Light Blended Coffee,Caramel,Venti Nonfat Milk,200,0.1,0.1,0,5,270,44,0,43,5,8%,0%,45%,30%,180
